PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
2/27/2021,UT1915XG,R1,99.7601,100,100,0.1657,99.2,0.1768,0.1588,-104.26,99.982,394.190135,1999.971036,0,372.9115017909
2/27/2021,UT1916XA,R1,99.6053,99.9707,96.7391,0.2318,61.2676,0.4112,0.3273,-104.0475,99.8564,331.987803,2064.181633,0,1146.44955425717
2/27/2021,UT1920XA,R1,99.6743,100,100,0.0668,96.6813,0.118,0.1143,-101.23,99.8634,334.106439,1712.18872,0,903.1232682481
2/27/2021,UT1923XE,R1,99.6264,100,75,0.1587,99.2308,0.0496,0.0425,-104.81,99.9676,397.26172,1939.750328,0,323.6962424664
2/27/2021,UT1927XE,R1,99.9271,99.8823,100,0.1113,98.6111,0.0577,0.0543,-105.46,99.8799,413.277619,2898.759973,0,240.581181307637
2/27/2021,UT1974XC,R1,99.6064,99.9599,100,0.0648,98.2143,0.1231,0.0878,-104.1233,99.7574,398.188247,1650.805398,0,220.110953465187
2/27/2021,UT1987XA,R1,99.8127,99.9094,100,0,99.2218,0.0751,0.06,-105.18,99.9364,388.874163,2839.424746,0,203.726721693725
2/27/2021,UT1769XB,R7,99.8879,99.9791,100,0.0554,64.2105,0.0407,0.0386,-104.9967,100,553.603664,2173.899437,0,597.8724868724
2/27/2021,UT1798XB,R7,99.7776,99.9486,94.1176,0.0573,95.2381,0.1971,0.1728,-102.46,99.8511,451.394907,2036.755676,0,1026.5231027537
2/27/2021,UT1877XC,R8,99.8942,99.9804,97.8723,0.0561,82.516,0.287,0.2788,-103.9933,99.8987,450.676231,2240.497038,0,476.4087280605
2/27/2021,UT1891XE,R7,99.9069,100,100,0.1736,84,0.0869,0.0892,-105.7,100,470.332265,3352.362382,0,101.2331006153
2/27/2021,UT1981XA,R1,99.7871,99.9586,96.875,0.1611,93.9262,0.2137,0.1727,-102.7667,99.6733,375.075859,2111.612235,0,1225.3524277409
2/27/2021,UT1985XA,R1,99.7844,99.9884,100,0.0177,98.941,0.0551,0.0472,-104.62,99.9551,477.324425,2492.456299,0,888.706133767263
2/27/2021,UT1990XE,R1,99.8019,99.9332,100,0.0955,100,0.0357,0.0318,-105.6533,99.924,494.649096,4379.347516,0,530.8591125558
2/27/2021,UT1992XA,R1,99.8969,99.987,100,0.0547,100,0.0496,0.0443,-104.885,99.7447,512.347306,4243.970943,0,681.431620296213
2/27/2021,UT1755XA,R7,99.4896,99.942,88.8889,0.2243,73.1383,0.2449,0.2082,-98.21,99.7566,345.748525,1582.707416,0,977.1180694621
2/27/2021,UT1765XA,R7,99.8079,99.9839,100,0.0224,94.7853,0.1491,0.1279,-103.08,99.8856,424.674914,2497.555506,0,710.5532865146
2/27/2021,UT1812XA,R7,99.8061,99.9901,100,0.0753,95.1872,0.188,0.1972,-99.53,99.9413,446.651885,2134.571676,0,1046.1241671554
2/27/2021,UT1824XB,R8,99.691,99.9844,92,0.2154,91.8681,0.2838,0.2568,-101.78,99.6943,380.693022,1976.743947,0,1538.4205254136
