,PERIOD_START_TIME,SECTOR,REGION,RRC_SETUP_SR_ALL,RAB_EST_SR_CS,W2G_IRAT/IF_HO_SR,DROP_CALL_RATE,IF_HOSR,RAB_DROP_RATE_HSDPA,RAB_DROP_RATE_EUL,AVERAGE_UL_RSSI_DBM,RAB_SETUP_SUCC_RATE_PS,EUL_MAC_USER_THR_KBPS,HSDPA_MAC_HS_USER_THR_NET,PAGING_INTENSITY(PPS/CELL),3G_LOAD
4699,2/27/2021,UT2130XB,R3,99.6902,99.9933,95.7895,0.1083,97.2477,0.3186,0.33299999999999996,-99.6933,99.8597,338.85282,1795.468465,0,1436.8391415302697
4700,2/27/2021,UT2148XA,R3,99.9005,99.9782,98.6486,0.0791,30.7692,0.043,0.0324,-103.6667,99.8781,483.776193,3686.839757,0,968.1663544421001
4701,2/27/2021,UT2164XG,R3,99.5639,100.0,100.0,0.1433,100.0,0.1531,0.1744,-105.38,99.8509,523.792419,2998.998424,0,83.2822547629
4702,2/27/2021,UT2182XA,R3,99.5444,99.9905,95.1389,0.1647,84.12700000000001,0.1427,0.1347,-103.6967,99.8793,502.09329800000006,2741.0419660000002,0,937.514833103425
4703,2/27/2021,UT2214XC,R3,99.4261,100.0,100.0,0.0562,81.0811,0.3582,0.273,-103.7433,99.6321,433.51487000000003,2697.987123,0,489.79916591849997
4704,2/27/2021,UT2220XC,R3,99.5515,100.0,71.4286,0.39899999999999997,100.0,0.2953,0.2771,-104.06,99.6002,482.538793,4372.93794,0,220.196383246987
4705,2/27/2021,UT2222XE,R3,99.3738,100.0,100.0,0.0,100.0,0.42700000000000005,0.3098,-105.69,99.3776,913.99286,3960.340235,0,34.5195019922
4706,2/27/2021,UT2245XE,R3,99.4945,99.9675,100.0,0.3505,72.7273,0.5683,0.5079,-103.04,99.8428,302.08552099999997,994.7810939999999,0,302.4710535003
4707,2/27/2021,UT2245XG,R3,99.3788,100.0,100.0,0.2099,80.0,0.5811,0.5807,-104.21,99.8212,360.7939,1170.172826,0,325.29354332009996
4708,2/27/2021,UT2289XC,R3,99.8996,99.9879,100.0,0.0732,86.0,0.0786,0.0711,-106.1825,99.5863,480.273197,3585.516428,0,766.1983063250631
